index        real(x)        imag(x)        real(y)        imag(y)          error
143       0.469249      -0.883066      0.0445035      -0.999009       0.443921
144       0.709254      -0.704953       0.364647      -0.931146       0.415185
145       0.885903       -0.46387       0.645038       -0.76415       0.387365
146       0.983419       -0.18135        0.85624      -0.516578        0.36049
147       0.993088       0.117369       0.976571      -0.215194       0.334531
148       0.914049       0.405604       0.994161       0.107911       0.309518
149       0.753361       0.657608       0.908026       0.418914        0.28539
150       0.525377       0.850869       0.727977       0.685602       0.262208
151       0.250464       0.968126       0.473279       0.880913        0.23985
152      -0.046823       0.998903       0.170697       0.985323       0.218377
153      -0.339927       0.940452      -0.148589       0.988899       0.197698
154      -0.602667       0.797993      -0.451909       0.892064       0.177934
155      -0.811572       0.584252      -0.708856       0.705354       0.158964
156      -0.947983       0.318322      -0.893894       0.448277       0.140878
157      -0.999713      0.0239577      -0.989144       0.146951       0.123525
158      -0.962142      -0.272547      -0.985746      -0.168239       0.106996
159      -0.838627      -0.544706      -0.884736      -0.466093      0.0911688
160        -0.6402      -0.768208      -0.696711      -0.717352      0.0760435
161      -0.384586      -0.923089      -0.440783      -0.897614      0.0617117
162     -0.0946184      -0.995514      -0.142296      -0.989824      0.0480207
163       0.203801      -0.979012       0.169387       -0.98555      0.0350317
164       0.484016      -0.875059       0.464017      -0.885826       0.022714
165       0.720995       -0.69294       0.713218      -0.700942      0.0111593
166       0.893571      -0.448923       0.893515      -0.449033    0.000123382
167       0.986326      -0.164805       0.987967      -0.154665     -0.0102717
168       0.990977       0.134034       0.988103       0.153791     -0.0199648
169       0.907107       0.420901       0.894486       0.447096     -0.0290781
170       0.742208        0.67017       0.716355       0.697736     -0.0377947
171        0.51101       0.859575       0.471084       0.882088     -0.0458399
172       0.234166       0.972197       0.182065       0.983287     -0.0532748
173     -0.0635959       0.997976      -0.123513       0.992343     -0.0601908
174      -0.355677       0.934609      -0.417187       0.908821     -0.0667101
175      -0.615986       0.787757      -0.671654       0.740865     -0.0728022
176      -0.821272       0.570537      -0.863406        0.50451     -0.0783449
177      -0.953196       0.302353      -0.975083       0.221839     -0.0834605
178      -0.999974     0.00716126      -0.996722     -0.0808989     -0.0881487
179      -0.957429       -0.28867       -0.92666      -0.375902     -0.0925318
180      -0.829359      -0.558716      -0.771792      -0.635875     -0.0963045
181      -0.627205      -0.778854      -0.546558      -0.837421     -0.0997111
182      -0.369026      -0.929419      -0.271748      -0.962368      -0.102751
183     -0.0778825      -0.996963      0.0275826       -0.99962      -0.105548
184       0.220218      -0.975451       0.324115      -0.946018      -0.108039
185       0.498647      -0.866805       0.590921      -0.806729      -0.110163
186       0.732533      -0.680731       0.804053      -0.594558      -0.112044
187       0.900985      -0.433849       0.944344       -0.32896      -0.113558
188       0.988955      -0.148214       0.999424     -0.0339264      -0.114829
189       0.988585       0.150662       0.964526       0.263987      -0.115916
190       0.899908       0.436079       0.843014       0.537892      -0.116698
191       0.730846       0.682543        0.64604       0.763303      -0.117175
192       0.496499       0.868037       0.391289       0.920268       -0.11753
193       0.217802       0.975993       0.101806       0.994804      -0.117579
194     -0.0803508       0.996767      -0.196654       0.980473      -0.117507
195      -0.371326       0.928503      -0.477449        0.87866      -0.117312
196      -0.629132       0.777299      -0.715479       0.698634      -0.116873
197       -0.83074       0.556661        -0.8897       0.456546      -0.116252
198       -0.95814       0.286299      -0.984731       0.174085      -0.115386
199      -0.999954     -0.0096372      -0.992325      -0.123657      -0.114337
200      -0.952444      -0.304713      -0.911893      -0.410429      -0.113288
201      -0.819857      -0.572569      -0.750609      -0.660747      -0.112178
202      -0.614034       -0.78928      -0.522975      -0.852348      -0.110823
203      -0.353362      -0.935487      -0.249103      -0.968477      -0.109408
204     -0.0611247       -0.99813      0.0466909      -0.998909      -0.107871
205       0.236572      -0.971614       0.338356      -0.941018      -0.106333
206       0.513137      -0.858307       0.599909      -0.800068      -0.104552
207       0.743865       -0.66833       0.808504      -0.588491       -0.10277
208       0.908146      -0.418654       0.945707      -0.325021      -0.100928
209       0.991306       -0.13158        0.99946     -0.0328716     -0.0990855
210       0.985915       0.167247       0.965035        0.26212     -0.0971819
211       0.892456       0.451134       0.845555       0.533888     -0.0951563
212       0.719277       0.694723       0.651554       0.758602     -0.0931307
213       0.481848       0.876255       0.400129       0.916459     -0.0911051
214       0.201373       0.979515       0.113499       0.993538     -0.0890147
215     -0.0970906       0.995276      -0.183009       0.983111     -0.0868021
216      -0.386881        0.92213      -0.463461       0.886117     -0.0846506
217      -0.642112       0.766611      -0.703058       0.711133     -0.0824381
218      -0.839984       0.542612      -0.880767       0.473551     -0.0802256
219      -0.962821       0.270142      -0.980945       0.194284     -0.0780131
220       -0.99965     -0.0264596      -0.994788      -0.101964     -0.0756785
221      -0.947182      -0.320697      -0.921064      -0.389412      -0.073527
222      -0.810103      -0.586288      -0.766268      -0.642521     -0.0713144
223      -0.600658      -0.799506       -0.54397      -0.839104      -0.069163
224      -0.337558      -0.941305      -0.273769      -0.961795     -0.0670115
225     -0.0443038      -0.999018      0.0204792       -0.99979      -0.064799
226       0.252908       -0.96749       0.312867      -0.949797     -0.0625254
227       0.527528      -0.849538       0.577825       -0.81616     -0.0603739
228       0.755024      -0.655697       0.791974      -0.610555     -0.0583445
229       0.915075      -0.403284       0.936323      -0.351139     -0.0563151
230       0.993383      -0.114845       0.998148     -0.0608372     -0.0542246
231       0.982954       0.183852       0.971995       0.235002     -0.0523173
232       0.884718       0.466126       0.860169       0.510008     -0.0502878
233       0.707452       0.706761       0.672534       0.740066     -0.0482585
234        0.46699       0.884263       0.425516       0.904951     -0.0463511
235       0.184812       0.982774       0.140905       0.990023     -0.0445048
236      -0.113875       0.993495       -0.15614       0.987735     -0.0426584
237       -0.40239       0.915469      -0.439406       0.898288     -0.0408121
238      -0.654959       0.755664      -0.683989       0.729493     -0.0390879
239      -0.849022       0.528357      -0.868136       0.496326     -0.0373027
240      -0.967243       0.253853      -0.975647       0.219346     -0.0355173
241      -0.999061     -0.0433279      -0.997027     -0.0770581     -0.0337931
242      -0.941634      -0.336638      -0.930334      -0.366714     -0.0321299
243      -0.800092      -0.599877      -0.781409      -0.624019     -0.0305277
244      -0.587079       -0.80953       -0.56342       -0.82617     -0.0289255
245      -0.321623      -0.946868      -0.295518      -0.955337     -0.0274455
246     -0.0274361      -0.999624    -0.00153526      -0.999999     -0.0259043
247       0.269201      -0.963084       0.292699      -0.956204     -0.0244852
248       0.541791      -0.840513       0.561033      -0.827794     -0.0230662
249       0.765983       -0.64286       0.779795      -0.626035     -0.0217692
250       0.921751      -0.387782       0.929451      -0.368945     -0.0203501
251        0.99518     -0.0980628       0.996863     -0.0791457     -0.0189921
252       0.979711       0.200416       0.975971       0.217898     -0.0178782
253       0.876725       0.480992       0.868478       0.495727     -0.0168864
254       0.695423       0.718601       0.683958       0.729521     -0.0158335
255       0.451999       0.892019        0.43882       0.898575     -0.0147196
256       0.168198       0.985753       0.154832       0.987941     -0.0135447
257      -0.130627       0.991432      -0.143001       0.989722     -0.0124918
258      -0.417784       0.908547      -0.427983       0.903787     -0.0112559
259       -0.66762       0.744502      -0.675271       0.737569     -0.0103251
260      -0.857819       0.513952      -0.862671       0.505766    -0.00951638
261       -0.97139       0.237492      -0.973435       0.228965    -0.00876869
262      -0.998187     -0.0601839      -0.997672     -0.0681883      -0.008021
263      -0.935818      -0.352483       -0.93323       -0.35928    -0.00727335
264      -0.789853      -0.613296      -0.785948      -0.618293    -0.00634254
265      -0.573332      -0.819323      -0.568689      -0.822553    -0.00565591
266      -0.305596      -0.952161      -0.301093      -0.953595    -0.00472509
267     -0.0105606      -0.999944    -0.00670538      -0.999978    -0.00385536
268       0.285418      -0.958403       0.288512      -0.957476    -0.00322974
269         0.5559      -0.831249       0.558215      -0.829696    -0.00278727
270       0.776724      -0.629841       0.778237       -0.62797    -0.00240579
271       0.928165      -0.372169       0.928894      -0.370346    -0.00196323
272       0.996694     -0.0812522       0.996831     -0.0795538    -0.00170387
273       0.976189       0.216923       0.975914       0.218154    -0.00126134
274       0.868482       0.495721       0.868076       0.496431   -0.000818849
275       0.683195       0.730236        0.68292       0.730493   -0.000376374
276       0.436879        0.89952       0.436829       0.899545   -5.59092e-05
277       0.151537       0.988452       0.151919       0.988393    0.000386596
278      -0.147342       0.989086      -0.146401       0.989225    0.000951156
279      -0.433058       0.901366      -0.431802       0.901968     0.00139365
280      -0.680091       0.733128      -0.678743       0.734376     0.00183618
281      -0.866371       0.499401      -0.865353       0.501162     0.00203455
282       -0.97526       0.221063      -0.974709       0.223478     0.00247705
283      -0.997029     -0.0770227       -0.99725     -0.0741115     0.00291954
284      -0.929736      -0.368228      -0.930968        -0.3651     0.00336204
285       -0.77939      -0.626539      -0.781768       -0.62357      0.0038046
286      -0.559422      -0.828883      -0.562836      -0.826568     0.00412495
287      -0.289481      -0.957184      -0.293734      -0.955887     0.00444545
288     0.00631795       -0.99998     0.00191834      -0.999998     0.00439965
289       0.301553      -0.953449       0.297399      -0.954753     0.00435387
290       0.569851      -0.821748       0.566406      -0.824126     0.00418599
291       0.787244      -0.616641       0.784684      -0.619895     0.00414021
292       0.934314      -0.356451       0.932847      -0.360273     0.00409446
293       0.997923     -0.0644184       0.997654     -0.0684582      0.0040487
294       0.972388       0.233368       0.973287       0.229593     0.00388085
295       0.859992       0.510308       0.862004       0.506901      0.0039571
296       0.670773       0.741663       0.673849       0.738869      0.0041555
297       0.421635       0.906766       0.425247       0.905077     0.00398768
298       0.134832       0.990868       0.138616       0.990346     0.00381982
299      -0.164015       0.986458       -0.16029        0.98707     0.00377404
300       -0.44821       0.893928      -0.444546       0.895756     0.00409449
301      -0.692367       0.721545       -0.68944       0.724342     0.00404866
302      -0.874677       0.484707      -0.872729       0.488204     0.00400291
303      -0.978852       0.204571       -0.97806       0.208323     0.00383508
304      -0.995587     -0.0938396      -0.995936     -0.0900663      0.0037893
305      -0.923388      -0.383867      -0.924912      -0.380182     0.00398768
306      -0.768704      -0.639605      -0.771219       -0.63657      0.0039419
307      -0.545352      -0.838207      -0.548512      -0.836143     0.00377406
308      -0.273285      -0.961933      -0.277104       -0.96084     0.00397242
309      0.0231947      -0.999731       0.019269      -0.999814     0.00392663
310       0.317602      -0.948224       0.314152      -0.949373      0.0036367
311       0.583639      -0.812013       0.580719      -0.814104     0.00359089
312        0.79754      -0.603266       0.795248      -0.606284     0.00378931
313       0.940197       -0.34063       0.938832      -0.344377     0.00398762
314       0.998868     -0.0475663       0.998673     -0.0515034     0.00394189
315       0.968311       0.249747       0.969217       0.246209     0.00365197
316       0.851256        0.52475       0.853143       0.521677     0.00360621
317       0.658159       0.752879       0.660927        0.75045     0.00368253
318        0.40627       0.913753       0.409925       0.912119     0.00400294
319       0.118089       0.993003       0.121897       0.992543     0.00383508
320      -0.180641       0.983549      -0.176792       0.984248     0.00391137
321      -0.463234       0.886236      -0.459913       0.887964     0.00374354
322      -0.704447       0.709757      -0.701905       0.712271     0.00357563
323      -0.882733       0.469875      -0.880953       0.473203     0.00377403
324      -0.982165       0.188021       -0.98141       0.191921     0.00397241
325      -0.993862       -0.11063      -0.994275      -0.106848     0.00380455
326      -0.916778      -0.399398      -0.918273      -0.395949      0.0037588
327      -0.757799      -0.652488      -0.760296      -0.649577     0.00383506
328      -0.531127      -0.847292      -0.534541      -0.845143     0.00403346
329       -0.25701      -0.966409      -0.260744      -0.965408     0.00386559
330      0.0400648      -0.999197      0.0362478      -0.999343     0.00381982
331       0.333561      -0.942728        0.32977      -0.944061     0.00401817
332       0.597261      -0.802047       0.594267      -0.804268     0.00372828
333       0.807608       -0.58972       0.805359      -0.592788     0.00380457
334       0.945813      -0.324713       0.944545      -0.328381     0.00388087
335       0.999529     -0.0307007       0.999399     -0.0346557     0.00395715
336       0.963958       0.266054       0.964959         0.2624     0.00378931
337       0.842278       0.539043       0.844225       0.535989     0.00362147
338       0.645359        0.76388       0.648272       0.761409     0.00381983
339        0.39079        0.92048       0.394373        0.91895     0.00389613
340       0.101312       0.994855       0.105264       0.994444     0.00397239
341      -0.197215        0.98036      -0.193484       0.981103     0.00380457
342      -0.478126       0.878291      -0.474929       0.880024     0.00363673
343      -0.716326       0.697766       -0.71373       0.700421     0.00371305
344      -0.890538        0.45491      -0.888807       0.458281     0.00378931
345      -0.985199       0.171417      -0.984507       0.175344     0.00398765
346      -0.991853      -0.127388      -0.992317       -0.12372     0.00369775
347      -0.909906      -0.414814      -0.911415      -0.411488     0.00365195
348      -0.746679      -0.665185      -0.749153      -0.662397     0.00372825
349      -0.516751      -0.856136      -0.520005      -0.854163     0.00380454
350      -0.240663      -0.970609      -0.244428      -0.969667     0.00388085
351      0.0569235      -0.998379      0.0529724      -0.998596     0.00395714
352       0.349425      -0.936964       0.345872      -0.938282     0.00378928
353       0.610713      -0.791852       0.607938      -0.793984      0.0034994
354       0.817446      -0.576005       0.815381      -0.578924     0.00357569
355       0.951158      -0.308704       0.950025      -0.312175     0.00365198
356       0.999904     -0.0138263       0.999846     -0.0175541     0.00372826
357        0.95933       0.282286       0.960397       0.278634     0.00380457
358        0.83306       0.553182       0.835201       0.549945     0.00388084
359       0.632374       0.774663       0.635434       0.772155     0.00395713
360       0.375198       0.926944       0.378708       0.925516     0.00378928
361      0.0845069       0.996423      0.0881148        0.99611     0.00362144
362      -0.213734       0.976892       -0.21012       0.977676     0.00369773
363      -0.492881       0.870097      -0.489701       0.871891     0.00365195
364      -0.728001       0.685576       -0.72544       0.688286     0.00372828
365      -0.898089       0.439814      -0.896463       0.443119      0.0036825
366      -0.987951       0.154764      -0.987363       0.158477     0.00375877
367      -0.989562      -0.144111      -0.990107      -0.140315     0.00383509
368      -0.902775      -0.430112      -0.904399      -0.426688     0.00378928
369      -0.735345      -0.677693      -0.737959      -0.674845     0.00386555
370      -0.502228      -0.864735      -0.505632      -0.862749      0.0039419
371      -0.224247      -0.974532      -0.227804      -0.973707     0.00365197
372       0.073766      -0.997276       0.070291      -0.997527     0.00348412
373       0.365189      -0.930933       0.361872      -0.932228      0.0035604
374       0.623991      -0.781432       0.621145      -0.783696      0.0036367
375       0.827052      -0.562126       0.825028      -0.565092     0.00359095
376       0.956233      -0.292606       0.955154      -0.296111     0.00366721
377       0.999995     0.00305204              1   -0.000569407     0.00362145
